From,To,TransportMode,Year,Flow
CaptureSite3,CaptureSite4,truck,19,0.0
CaptureSite3,CaptureSite4,truck,20,0.0
CaptureSite3,CaptureSite4,truck,21,0.0
CaptureSite3,CaptureSite4,truck,22,0.0
CaptureSite3,CaptureSite4,truck,23,0.0
CaptureSite3,CaptureSite4,truck,24,0.0
CaptureSite3,CaptureSite4,truck,25,0.0
CaptureSite3,CaptureSite4,rail,0,0.0
CaptureSite3,CaptureSite4,rail,1,0.0
CaptureSite3,CaptureSite4,rail,2,0.0
CaptureSite3,CaptureSite4,rail,3,0.0
CaptureSite3,CaptureSite4,rail,4,0.0
CaptureSite3,CaptureSite4,rail,5,0.0
CaptureSite3,CaptureSite4,rail,6,0.0
CaptureSite3,CaptureSite4,rail,7,0.0
CaptureSite3,CaptureSite4,rail,8,0.0
CaptureSite3,CaptureSite4,rail,9,0.0
CaptureSite3,CaptureSite4,rail,10,0.0
CaptureSite3,CaptureSite4,rail,11,0.0
CaptureSite3,CaptureSite4,rail,12,0.0
CaptureSite3,CaptureSite4,rail,13,0.0
CaptureSite3,CaptureSite4,rail,14,0.0
CaptureSite3,CaptureSite4,rail,15,0.0
CaptureSite3,CaptureSite4,rail,16,0.0
CaptureSite3,CaptureSite4,rail,17,0.0
CaptureSite3,CaptureSite4,rail,18,0.0
CaptureSite3,CaptureSite4,rail,19,0.0
CaptureSite3,CaptureSite4,rail,20,0.0
CaptureSite3,CaptureSite4,rail,21,0.0
CaptureSite3,CaptureSite4,rail,22,0.0
CaptureSite3,CaptureSite4,rail,23,0.0
CaptureSite3,CaptureSite4,rail,24,0.0
CaptureSite3,CaptureSite4,rail,25,0.0
CaptureSite3,CaptureSite4,pipeline,0,0.0
CaptureSite3,CaptureSite4,pipeline,1,0.0
CaptureSite3,CaptureSite4,pipeline,2,0.0
CaptureSite3,CaptureSite4,pipeline,3,0.0
CaptureSite3,CaptureSite4,pipeline,4,0.0
CaptureSite3,CaptureSite4,pipeline,5,0.0
CaptureSite3,CaptureSite4,pipeline,6,0.0
CaptureSite3,CaptureSite4,pipeline,7,0.0
CaptureSite3,CaptureSite4,pipeline,8,0.0
CaptureSite3,CaptureSite4,pipeline,9,0.0
CaptureSite3,CaptureSite4,pipeline,10,0.0
CaptureSite3,CaptureSite4,pipeline,11,0.0
CaptureSite3,CaptureSite4,pipeline,12,0.0
CaptureSite3,CaptureSite4,pipeline,13,0.0
CaptureSite3,CaptureSite4,pipeline,14,0.0
CaptureSite3,CaptureSite4,pipeline,15,0.0
CaptureSite3,CaptureSite4,pipeline,16,0.0
CaptureSite3,CaptureSite4,pipeline,17,0.0
CaptureSite3,CaptureSite4,pipeline,18,0.0
CaptureSite3,CaptureSite4,pipeline,19,0.0
CaptureSite3,CaptureSite4,pipeline,20,0.0
CaptureSite3,CaptureSite4,pipeline,21,0.0
CaptureSite3,CaptureSite4,pipeline,22,0.0
CaptureSite3,CaptureSite4,pipeline,23,0.0
CaptureSite3,CaptureSite4,pipeline,24,0.0
CaptureSite3,CaptureSite4,pipeline,25,0.0
CaptureSite4,CaptureSite3,truck,0,0.0
